Question,Lora Suggestions for Revised Question Wording,Keep/Not? Other comments,Answer,Revised Question Answer,Source Page,Difficulty Type,Relation
I am extra cautious. How can I avoid Pinch hazards before they happen?,What should I do to avoid a pinching hazard?,,"Remove obstacles in the area around the robot. Set up stricter safety planes and joint limits, and check the recommended special needs for your robot arm. ","Remove obstacles in the area around the robot. Set up stricter safety planes and joint limits, and check the recommended special needs for your robot arm. ",37,Moderate,"Safety, Maintenance, Operations, Info"
What is the clearance of the control box?,How much space do I need to leave around the control box?,,"For the UR5e model, the minimum clearance is 50mm on each side. The recommended is 200mm. ","For the UR5e model, the minimum clearance is 50mm on each side. The recommended is 200mm. ",48,Easy,"Safety, Info"
What are the external connection ports on the robot?,,,"Teach Pendant Port, SD Card slot, Ethernet, USB 2.0 and USB 3.0, Mini Displayport, 10A Mini Blade Fuse",,72,Hard,Info
What is the speed of the Ethernet cable port?,,Probably not relevant for this case,"It has a max speed of 1000Mb/s, but the actual speed of transformation can depend on the cable used, and the device connected to the other side of the cable.",,73,Moderate,Info
For the Controller IO inside the control box what are the yellow with red text colors meant to signify?,"What is the meaning of the ""yellow with red text"" color scheme of the electrical interface groups inside the control box?",This question isn't very clear to me,Dedicated Safety Signals.,The yellow with red text color indicates that that group is related to dedicated safety signals.,74,Easy,"Safety, Info"
What are the default safety limits of recovery mode?,What are the safety limits when in recovery mode?,,Join Speed Limit: 30 degrees per second. Speed Limit: 250 mm/s. Force Limit: 100N. Momentum Limit: 10 kg m/s. Power Limit: 80W.,"The current safety limits will be listed and set in the safety settings. If no safety limits have been changed, the default safety limits are as follows:
Join Speed Limit: 30 degrees per second.
Speed Limit: 250 mm/s. 
Force Limit: 100N. 
Momentum Limit: 10 kg m/s. 
Power Limit: 80W.",186,Easy,"Safety, Info"
"If I want the robot arm to stay within certain confines, specifically the elbow and tool, what can I do?",How do I ensure the robot elbow and tool remain within a certain area/boundary?,,You can configure Safety Planes. Safety planes limit the tool spheres and elbow movement to stay within certain confines set up by up to 8 safety planes.,You can configure Safety Planes. Safety planes limit the tool spheres and elbow movement to stay within certain confines set up by up to 8 safety planes.,122,Moderate,"Safety, Operations, Info"
Is there any risk associated with safety planes? Or can I assume the planes are set up perfectly?,What risks do I need to be aware of for the safety planes?,,"There are risks. Safety planes only limit the tool and elbow, but not the overall arm. So part of the arm can still exceed the plane, just the elbow and tool is restricted. If the tool must move in a certain way, parts of the arm can still go outside the safety plane. ","Safety planes only limit the tool and elbow, but not the overall arm. Part of the arm can still exceed the plane, only the elbow and tool are restricted. If the tool must move in a certain way, parts of the arm can still go outside the safety plane. ",122,Moderate,"Safety, Operations, Info"
,What are the limitations of using safety planes?,,,Safety planes can only limit the tool and the elbow from going beyond the plane. Other parts of the arm cannot be configured to respect safety planes.,,,
I do not want to set a password for the safety settings. Is this fine?,Can I skip setting a password for the safety settings?,,No. Failure to set a password can result in injury or death due to unauthorized changes to the configuration system by any user.,No. Failure to set a password can result in injury or death due to unauthorized changes to the configuration system by any user.,35,Moderate,"Safety, Maintenance, Info"
Are there any issues with not doing application risk assessments?,What could happen if I fail to do an application risk assessment?,,"Yes. Failure to conduct a risk assessment can increase the risk of using the machine. The assessment addresses severity of possible harm, likelihood of occurrence, and avoiding hazardous situations. Failure to  take these risks into account can be dangerous.","Failure to conduct a risk assessment can increase the risk involved in using the machine. The assessment addresses severity of possible harm, likelihood of occurrence, and avoiding hazardous situations. Failure to take these risks into account can be dangerous.",36,Moderate,"Safety, Maintenance, Info"
Who performs the risk assessment for the arm?,Who should perform the risk assessment for the arm?,,Risk assessment is the responsibility of the integrator. The user of the robot arm can be the integrator.,Risk assessment is the responsibility of the integrator. The user of the robot arm can be the integrator.,34,Easy,"Safety, Maintenance, Info"
"The arm is slower and stop periodically when I start it? There is nothing near it, the temperature of the facility is -10C, and have done a risk assessment before. ",Why is the robot arm moving slowly or stopping when I start it? It is not near anything and I have done a risk assessment.,Response could ask follow up about the environment?,Starting the robot in a cold environment can result in lower performance or stops. This is because the temperature dependent oil and grease can change viscosity if too cold. Starting the robot off with a warm-up phase can help mitigate this issue.,"The robot arm running slowly when started could be due to many potential things.
The speed settings could be turned down.
The environment temperature could be too low or high. Temperatures outside of 0-50C can reduce the speed. 
The robot could be in reduced mode, which can occur when the arm reaches outside it's specified reduced mode safety planes.",53,Moderate,"Maintenance, Info"
My robot arm looks like the whole system is vibrating when it is running. What could be the cause of this?,Why does my robot arm look to be vibrating when running?,,This could be due to the dimensionsing of the stand used. If the resonance frequency of the stand is lower than 45Hz it can resonate with the movement of the arm and make it look like the entire  system is vibrating.,This could be due to the dimensionsing of the stand used. If the resonance frequency of the stand is lower than 45Hz it can resonate with the movement of the arm and make it look like the entire  system is vibrating.,43,Moderate,"Safety, Info"
What are some options that reduce the force applied to a person if there is a collision with the arm while in movement?,How can I reduce the force applied to the operator in case of a collision?,,"The Force and power limiting safety setting is used to reduce clamping and pressures exerted by the robot in case of collisions.  The momentum limiting is used to reduce high transient energy and impact forces in case of collisions by reducing the speed of the robot. There is also a speed limitation, which is used to ensure the speed of the robot is within limits set.","To reduce the force applied to the operator in a collision you can change the force and power limiting safety setting. They are used to reduce clamping and pressures exerted by the robot in case of collisions. 
The momentum limiting option can also be used to reduce high transient energy and impact forces in case of collisions by reducing the speed of the robot. There is also a speed limitation, which is used to ensure the speed of the robot is within limits set.",35,Easy,"Safety, Info"
We have a strong electromagnet nearby. Will the robot be fine so long as it is not pulled to it?,Do I need to worry about a strong electromagnet near my robot?,,"No, operating near strong magnetic fields can damage the robot. ","Yes, operating the arm near strong magnetic fields can damage the robot.",32,Easy,"Safety, Info"
Why is setting the center of gravity of the payload important?,Why do I need to set the center of gravity for the payload?,,"Failure to configure the center of gravity correctly can result in certain procedures failing, such as freedrive. If the center of gravity is not set up correctly it could result in the arm falling on its own.","Failure to configure the center of gravity correctly can result in certain procedures failing, such as freedrive. If the center of gravity is not set up correctly it could result in the arm falling on its own.",161-18,Moderate,"Safety, Operations, Info"
Can the offset of the center of gravity affect how the arm moves?,What happens if I offset the center of gravity?,,"Yes, the greater the center of gravity offset, the more the capacity of the arm to accelerate can be reduced. Too great of a center of gravity, or too much weight can result in tipping hazards.","The offset for the center of gravity can affect the way the arm moves due to what it expects the object's center to be.
The greater the center of gravity is offset from the origin, the more the capacity of the arm to accelerate can be reduced. 
Too great of a center of gravity, or too much weight can result in tipping hazards.",18,Moderate,"Safety, Operations, Info"
What is the purpose of conducting a cybersecurity risk assessment?,Why do I need to conduct a cybersecurity risk assessment?,,"To identify threats, define trust zones and conduits, and specify the requirements of each component in the application.","To identify threats, define trust zones and conduits, and specify the requirements of each component in the application.",166,Easy,"Safety, Info"
Who conducts a cybersecurity risk assessment?,Who should do the cybersecurity risk assessment?,,Either the integrator(could be user) or a competent qualified personnel. ,Either the integrator(could be user) or a competent qualified personnel. ,166,Easy,"Safety, Maintenance, Info"
Are there risks associated with using 12V vs 24V?,,,"Using one or the other is fine so long as the setting matches. Using one, and marking to robot to use the other can be a risk.",,100,Easy,"Safety, Info"
"My robot arm stopped moving, and had a very strong, sudden, and fast movement out of nowhere. What could this be and how can I prevent it?","My robot arm stopped moving and then had a strong, sudden movement. What could have caused this? How can I prevent this from happening again?",,"This is likely a ""singularity."" A singularity is a pose that restricts the motion and ability to position the robot. If the arm is approaching a singularity it can stop moving or have very sudden and fast movements. This is likely an artifact of the program that is running. To prevent a singularity from occurring, avoid programming motions that result in any poses that could cause a singularity. ",,44,Moderate,"Coding, Operations, Info"
"What stop category is emergency stop, safeguard stop, and 2PE stop, and what does each stop category they are mean?",Can you describe the robot stop categories?,,"Emergency stop is Stop Category 1, which means the robot is stopped in an orderly, controlled manner. And power is removed once the robot is stopped. Safeguard stop and 2PE stop are both in stop category 2, which means the robot is stopped with the power available to the drives, while maintaining the trajectory and drive power is maintained after the robot is stopped.","There are three kinds of stop categories.
Stop Category 0: Immediately stops the arm by removing the power.
Stop Category 1: Stops the robot in a controlled manner, and removes the power once it is fully stopped.
Stop Category 2: Stops the robot with power available to the drives, while maintaining the current trajectory. Power is maintained after the robot is stopped.",33/62,Moderate,"Safety, Info"
"I plugged in an active adapter right after I turned on the control box, but nothing is showing up. How can I fix this?","I plugged in an active adapter, but nothing is showing up. What should I do?",Then system ask back about when plugged in?,"You must plug in adapters before powering on the control box, and the adapter must support revision 1.2. Make sure you adhere to these requirements.","You must ensure that the adapter is fully plugged in, and plugged in before powering on the control box. Adapters that do not support revision 1.2 are not garunteed to work. Please check that the adapter adheres to these requirements.",72,Moderate,"Operations, Info"
Can I connect or disconnect my teach pendant while the control box is on?,,,No. Connecting or disconnecting the teach pendant should be done when the control box is powered off. Connecting or disconnecting while the control box is on can cause damage to the control box.,,72,Easy,"Safety, Maintenance, Info"
What are the two yellow buttons on the back side of my teach pendant?,,,Those are the 3PE buttons. ,,77,Moderate/Hard-Image recognition,Info
What is the function of the 3PE buttons?,,,"When the 3PE button is not pressed, the robot movement is stopped, power is not removed from the robot arm, and the brakes are release. When there is light pressure the current program can play while the mode is set to manual. When there is tight pressure the robot movement is stopped in manual mode, and the robot is in 3PE stop mode. If you light press it twice and hold the button down,  you can enter fredrive mode and manually move the arm to a desired position while the buttons light pressure is held down. ",,82/81,Moderate,"Operations, Info"
What happens if the robot detects a mismatch between mounting configuration and sensor data during first boot?,,,If a mismatch is found between the mounting and the sensor data with a tolerance of 30 degrees the start button is disabled and an error message is displayed below it. ,,54,Easy,"Maintenance, Info"
How do I power up the control box?,,,"Press the power button on the teach pendant. If it is the first boot, you may see a ""Getting Started"" screen. ",,55,Easy,"Operations, Info"
What is the latency of messages sent via tool connectors?,,,"2ms - 4ms, from the time the message is written on the PC to the start of the message on the RS485.",,97,Easy,Info
I have just made a modification to the robot arm. Is there any check I need to do afterwards?,What check procedures do I need to follow after modifying the robot arm?,,"Yes, there is a list of tests to conduct after making a modification to the robot arm. 
Verify all safety inputs and outputs are correctly connected.
Test all connected safety input and output, including devices common to multiple
machines or robots, are functioning as intended.
Test emergency stop buttons and inputs to verify the robot stops and the brakes engage.
Test safeguard inputs to verify the robot motion stops. If safeguard reset is configured,
check that it functions as intended.
Look at the initialization screen, activate the reduced input and verify the screen changes.
Change the operational mode to verify the mode icon changes in top right corner of
PolyScope screen.
Test the 3-position enabling device to verify that pressing to the center on position enables
motion in manual mode at a reduced speed.
If the Emergency Stop outputs are used, press the Emergency Stop push-button and
verify that there is a stop of the whole system.
Test the system connected to Robot Moving output, Robot Not Stopping output, Reduced
Mode output, or Not Reduced Mode output to verify the output changes are detected.
Determine the commissioning requirements of your robot application.","Yes, there is a list of tests to conduct after making a modification to the robot arm. 
Verify all safety inputs and outputs are correctly connected.
Test all connected safety input and output, including devices common to multiple
machines or robots, are functioning as intended.
Test emergency stop buttons and inputs to verify the robot stops and the brakes engage.
Test safeguard inputs to verify the robot motion stops. If safeguard reset is configured,
check that it functions as intended.
Look at the initialization screen, activate the reduced input and verify the screen changes.
Change the operational mode to verify the mode icon changes in top right corner of
PolyScope screen.
Test the 3-position enabling device to verify that pressing to the center on position enables
motion in manual mode at a reduced speed.
If the Emergency Stop outputs are used, press the Emergency Stop push-button and
verify that there is a stop of the whole system.
Test the system connected to Robot Moving output, Robot Not Stopping output, Reduced
Mode output, or Not Reduced Mode output to verify the output changes are detected.
Determine the commissioning requirements of your robot application.",98,Moderate,"Safety, Maintenance, Info"
What are the main safety precautions before performing maintenance on a Universal Robot Arm?,What are the main safety precautions that should be taken before performing maintenance on a Universal Robot Arm?,,"Disconnect main power, discharge control box, observe ESD regulations, and prevent dust/water ingress.",,193,Moderate,"Maintenance, Safety"
What can happen if you open the control box power supply too soon after switching off?,,,It can cause injury from residual high voltage (up to 600 V) still present in the power supply.,,193,Basic,"Safety, Info"
What are the tool attachments I can put on the universal robot relating to moving objects with the arm?,,,"Many kinds of grippers such as parallel, three-finger, vacuum, magnetic, soft, and precision grippers. ",,,Moderate,"Operations, Info, Tooling"
What are the tool attachments I can put on the universal robot relating to welding?,,,Welding and arc welding attatchments.,,,Moderate,"Operations, Tooling, Info"
What kind of attachments can I put on the Universal Robot?,"Narrow scope, be more specific.",,"Grippers (Parallel, three-finger, vacuum, magnetic, soft, and precision grippers), welding, Arc welding, TIG, laser, MIG, ultrasonic, plasma ,soldering tool, brazing, screwdriving, dispensing, Finishing, and Drilling tools, measuring sensors, sander tools, and polishing tools.",,,,"Info, Tooling"
How should the earth (ground) connection be checked after maintenance?,,,Verify the PE grounding screw connection inside the control box before re-powering.,,193,Moderate,"Safety, Maintenance, Info"
"What is a Reduced Mode, and when is it used?",What is Reduced Mode? When is it used?,,"Reduced Mode activates lower limits for speed, force, and distance near safety zones or planes.",,218,Hard,"Safety, Info"
What are the four collaborative operation techniques defined in ISO 10218-1?,,,"Safety-rated monitored stop, hand guiding, speed & separation monitoring, power & force limiting.",,222,Hard,"Safety, Info"
I want to control the arm using either admittance or impedance control schemes. This would require reading joint positions/torques and commanding joint velocities/torques at a suitably high rate. My question is can this be implemented using the standard hardware and controller? ,"I want to control...Can this be implemented using the standard hardware and controller?

I want to control the arm using either admittance or impedance control schemes by reading joint positions/torques and commanding joint velocities/torques at a high rate. Can this be implemented using the standard hardware and controller?",,"Yes, admittance and impendance control schemes can be implemented using standard and controler, but it would require a controller with direct torque control or low-level research API to command the velocities the fastest rate for UR robots is 125 Hz",,,Expert,"Info, Operations, Coding"
What is a pinch hazard in robot operation?,,,A pinch hazard occurs when body parts can be caught between moving robot parts or surfaces.,,37,Easy,"Safety, Info"
"What is the risk of EMC interference, and how can it be avoided?",,,High electromagnetic fields can cause malfunction; avoid long cables and maintain grounding.,,61,Moderate,"Info, Maintenance"
What standard defines the performance levels of UR safety functions?,,,"EN ISO 13849-1, Performance Level d (PLd), Category 3.",,100,Moderate,"Safety, Info"
What are the recommended cleaning material for the UR5e robot?,Already added,,"Water, 70% isopropyl alcohol, 10% ethanol, or 10% naphtha.",,194,Easy,"Info, Maintenance"
What are the steps for moving the robot arm safely to check its position stability?,,,"Move to zero position, disconnect power, inspect cables and bolts, use Freedrive to test hold.",,197-198,Difficult,"Safety, Info"
