machine,question,gold_answer
UR5e Cobot,What happens if the safe home output is activated when the robot is not in the configured safe home position?,A stop category 0 is initiated if the output is activated when the robot is not in the configured and monitored safe home position.
UR5e Cobot,How do you start a robot program from a specific node in the Program tree?,"1. In the Program tree, select a node.
2. In the Footer, tap Play.
3. Select Play from Selection to run the program from that node."
UR5e Cobot,What limitations apply when using Play from Selection?,"It can start only from a node in the robot Program tree. It cannot be used with a thread because threads always start from the beginning. If the selected node cannot run, or an unassigned variable is encountered, the program stops and displays an error."
UR5e Cobot,What warning is given about modifying the robot or e-Series end caps?,"Do not modify the robot and do not modify or alter e-Series end caps. A modification can create unforeseen hazards. Authorized disassembling and reassembling shall be done at a UR service center, or according to the newest relevant service manuals by skilled persons."
UR5e Cobot,What must the application risk assessment include regarding robot motion?,"It shall include the risks associated with the application's reach, motion, payload, and speed of the robot, end effector, and workpiece. Failure to consider these added risks can result in injury or death."
UR5e Cobot,"In Tool Position Restriction, what is the default Tool_1 configuration and how can it be reset to the tool flange?","Tool_1 is the default tool with x=0.0, y=0.0, z=0.0, and radius=0.0, representing the robot tool flange. Under Copy TCP, select Tool Flange to cause the tool values to go back to 0. A default sphere is defined at the tool flange."
UR5e Cobot,How do you add and configure a Set Payload command in a robot program?,"1. Select the place or node in the program where you want to add a Set command.
2. Under Basic, tap Set Payload.
3. In Select Payload, choose an existing payload or select Custom Payload and enter the mass and CoG fields.
You can also use Set Now to set the node values as the active payload."
UR5e Cobot,"When is Payload Transition Time recommended, and what does it do?","Payload Transition Time is recommended when picking up or releasing heavy objects or when using a vacuum gripper. Setting the transition time larger than zero prevents the robot from doing a small jump when the payload changes, while the program continues during the adjustment."
UR5e Cobot,What warning is given about using Factory Presets for Robot Limits?,The slider values in Factory Presets are only suggestions and do not substitute a proper risk assessment.
UR5e Cobot,Which robot behaviors can be limited in the Custom Robot Limits settings?,"Custom Robot Limits can limit: Power, Momentum, Stopping Time, Stopping Distance, Tool Speed, Tool Force, Elbow Speed, and Elbow Force."
UR5e Cobot,What is the elbow restriction diameter for a UR5e when using safety planes?,"For a UR5e, the elbow restriction diameter is 0.13 m."
UR5e Cobot,What happens when Dual Pin Power is enabled for the tool output configuration?,Dual Pin Power is used as a source of power for the tool. Enabling Dual Pin Power disables the default tool digital outputs.
UR5e Cobot,What should you do after changing the tool output configuration so the new setup is not lost?,"After verifying the tool outputs are working as intended, save the installation. Otherwise the currently loaded installation is modified but the changes can be lost."
UR5e Cobot,"During quick system start-up, what must be verified on the Initialize Robot screen before pressing Start?",Verify the payload mass in Active Payload and verify the mounting position is correct in the Robot field. Then tap Start to release the brake system.
UR5e Cobot,What is the correct procedure for connecting a Teach Pendant to the Control Box?,"Do not connect or disconnect the Teach Pendant while the Control Box is powered on. Power off the Control Box before connecting the Teach Pendant, otherwise damage can occur."
UR5e Cobot,"When is the Safe Home Safety Output active, and how is the robot considered to be in the Safe Home Position?",The Safe Home Safety Output is active when the robot is standing still at the Safe Home Position. The Robot Arm is in the Safe Home Position if the joint positions are at the specified joint angles or a multiple of 360 degrees thereof.
UR5e Cobot,"What can you do with the Home button in the Move tab, and what is its default action?","The Home button opens the Move Robot into Position screen, where you can hold down Auto to move the robot into the position previously defined under Installation. By default, Home returns the Robot Arm to an upright position."
UR5e Cobot,What happens in PolyScope if a program loses EtherNet/IP Scanner Device or PROFINET IO-Controller connection?,"You can configure the action as:
- None: PolyScope ignores the lost connection and the program continues to run.
- Pause: PolyScope pauses the current program and resumes from where it stopped.
- Stop: PolyScope stops the current program."
UR5e Cobot,How do you add the first waypoint versus additional waypoints in a robot program?,"To add the first waypoint, select where you want it in the Robot Program, then under Basic tap Move; a waypoint is added together with the Move node. To add more waypoints, select a Move node or Waypoint node and tap Waypoint under Basic."
UR5e Cobot,"What is the purpose of the Set Payload command, and what counts as payload on the UR5e?",Set Payload configures the payload for the robot. Payload is the combined weight of everything attached to the robot tool flange. Setting it correctly helps prevent robot stops and ensures optimal robot movement.
UR5e Cobot,"When recovery mode is activated because a safety limit was exceeded, what are the recovery safety limits and what warning applies?","In Recovery, you cannot run programs, but you can manually move the robot back within limits using Freedrive or the Move tab. The recovery limits are: Joint Speed Limit 30 °/s, Speed Limit 250 mm/s, Force Limit 100 N, Momentum Limit 10 kg m/s, and Power Limit 80 W. Use caution, because joint position limits, safety planes, and tool/end effector orientation limits are disabled in recovery mode."
UR5e Cobot,What happens if you change something on the I/O Tab while a program is executing?,"The program stops if anything is changed during execution. At program stop, all output signals retain their states."
UR5e Cobot,What are the mounting surface requirements when assembling the robot arm?,"Mount the robot arm on a sturdy, vibration-free surface. Verify the surface can withstand at least 10 times the full torque of the base joint and at least 5 times the weight of the robot arm."
UR5e Cobot,What must be done before resetting an emergency stop push-button?,"Visually identify and assess the reason the E-stop was activated. Visual assessment of all equipment in the application is required, and the problem must be solved before resetting the push-button."
UR5e Cobot,"When the Tool Communication Interface (TCI) is enabled, what happens to the tool analog input?",The tool analog input becomes unavailable when TCI is enabled.
UR5e Cobot,How do you enable Backdrive using the Freedrive on robot function?,"On the Initialize screen, tap ON to start the power up sequence. When the robot state is Teach Pendant 3PE Stop, press and hold the Freedrive on robot. The robot state changes to Backdrive, and while the hold is maintained you can apply significant pressure to release the brake in a desired joint."
UR5e Cobot,What happens if the robot is stopped or paused and then started using the Start input action?,"If stopped, the robot slowly moves to the first waypoint of the program before executing it. If paused, the robot slowly moves to the position where it was paused before resuming."
UR5e Cobot,"When can the safe home position output be activated, and what occurs if it is activated at the wrong position?","The output can only be activated when the robot is in the configured and monitored safe home position. If the output is activated when the robot is not in that position, a category 0 stop is initiated."
UR5e Cobot,"How is the Home button used in the Move screen, and what is its default behavior?","The Home button opens the Move Robot into Position screen, where you can hold down the Auto button to move the robot into the position previously defined under Installation. By default, Home returns the Robot Arm to an upright position."
UR5e Cobot,"What does the MODBUS signal connectivity status icon indicate, and what do the colors mean?","It shows whether the signal can be properly read or written. Green means the signal is communicating properly, while gray means the unit responds unexpectedly or is not reachable."
UR5e Cobot,"Can the UR5e be put into service as supplied, or does it need further integration?",It must be integrated into a final complete machine before being put into service. The integrator is responsible for ensuring the completed machine conforms with applicable directives and for providing the Declaration of Conformity.
Bridgeport Mill,What is the fuse rating used in the 8F Power Feed X-Axis control assembly?,The 8F Power Feed X-Axis control assembly uses a 10 Amp fuse.
Bridgeport Mill,How many limit switches are listed in the power feed assembly parts list?,There are 2 limit switches listed.
Bridgeport Mill,Which chapter contains the machine specifications section in the Bridgeport Mill manual?,"Machine Specifications is in Chapter 5 - Specifications, on page 5-4."
Bridgeport Mill,"If I need the exploded view for the 8F Power Feed X-Axis control assembly, which figure should I look for?","Look for Figure 4.17, titled ""8F Power Feed X-Axis Control Assembly, Exploded View."""
Bridgeport Mill,What oiling-related components are identified in the parts lists for the mill head and feed assemblies?,"The parts lists identify a Cup, Oil, Gits #1202 Style L and a Sight, Oil Glass."
Bridgeport Mill,What must be done to swivel the Bridgeport mill head more than 25 degrees?,Pull the safety pin “A” outwards before swiveling the head more than 25°.
Bridgeport Mill,How should the machine be lifted with a sling?,Use a proper sling and place it under the ram as illustrated. Note the position of the ram and table when lifting. Improper lifting could cause serious injury.
Bridgeport Mill,What bolt-tightening sequence and torque are specified for the machine mounting bolts?,"Tighten the bolts in a diagonal sequence, first to 25 lb-ft and then to 50 lb-ft. Overtightening could cause bind in the quill movement."
Bridgeport Mill,What precaution is given before tightening the hold-down bolts to secure the machine to the floor?,Make certain all four corners are making contact with the floor after the machine is leveled. Otherwise it is possible to twist the column and put a bind into the ways.
Bridgeport Mill,"On the 8F power feed circuit board, what are the manufacturer type and function of IC1?","IC1 is a CA358 or LM358, and its function is a dual operational amp."
Bridgeport Mill,How do you lock the spindle brake on the Bridgeport mill?,"Rotate the brake lever in either direction, then cam it upwards to lock and prevent movement of the spindle."
Bridgeport Mill,What is the correct procedure for using the quill sensitive hand feed handle?,"Place the handle on the quill feed shaft, select the most suitable position, and push it home until the locating pin engages."
Bridgeport Mill,"What warning applies when swiveling the belt housing, and how should the locknuts be handled?","Do not remove the three locknuts ""J"". Loosen them, swivel to the required angular setting, tighten them snugly before final tightening, run the spindle to obtain correct spline alignment, then tighten the locknuts securely."
Bridgeport Mill,"When indexing the turret, what torque should be used on the four turret bolts after adjustment?","After indexing to the required setting, lock the four bolts ""K"" to 47 lb-ft."
Bridgeport Mill,"What are the floor area, overall height, and net weight listed for the Bridgeport mill?",Floor area: 7' x 10' (2.1 m x 3.1 m); height: 82 in. (2083 mm); net weight: 1988 lb. (900 kg).
Bridgeport Mill,What caution is given when replacing lubrication metering units on the Bridgeport mill?,Replace metering units with the correct numbered meter units only. Wrong installation will cause poor lubrication.
Bridgeport Mill,What is the recommended feed method for drills larger than .375 inch diameter?,Use manual feed for drills larger than .375 inch diameter. Power feed can be used for drills up to .375 inch diameter.
Bridgeport Mill,How do you begin removing the E-Head reduction drive unit or ram?,"1. Loosen hex nuts “I” and remove the motor.
2. Remove vee belt pulley “K”.
3. Remove two screws “L” from air vent cover “M” and bring the top end of the connecting rod into view."
Bridgeport Mill,What pump options are listed for the lubrication system?,"Pump, Auto Lube (Code No. 11413209) and Pump, One Shot Lube, Manual (Code No. 11410324)."
Bridgeport Mill,"According to the general speed recommendations, what cutting speed range is listed for stainless steel?","For steel (stainless): 60 feet per minute rough cut, 80 feet per minute rough and finish, and 90 feet per minute light and finish cut."
Bridgeport Mill,What is the recommended procedure for locking the spindle when tightening or loosening the drawbar on a Bridgeport mill?,"Use the spindle brake on the left side of the belt housing, pulling it toward the operator or pushing it away until it binds, then raise the quill feed handle. This locks the spindle for drawbar service."
Bridgeport Mill,What caution is given about engaging the power feed worm gear and spindle speed?,"The power feed worm gear may be engaged when the spindle is rotating, but it should be engaged gently to avoid damage to the worm gear. Do not use power feed at speeds above 3000 RPM."
Bridgeport Mill,How do you set the machine to the low spindle speed range of 60 to 500 RPM?,"Hold the Hi-Neutral-Lo lever so the gears are clear of one another. Rotate the spindle nose by hand until the gears line up, then move the lever to the ""Lo"" position (back gear). Use the low range on the drum switch to engage the back gears."
Bridgeport Mill,"If clutch rattle is heard in the high speed position, how is it corrected?",Loosen the two securing screws in the Hi-Neutral-Lo lever while in the high speed position. The clutch spring will automatically adjust the clutch. Then tighten the two securing screws in the lever.
Bridgeport Mill,What fuse rating is specified for the Power Feed Y-Axis control box?,"Fuse, 10 Amp."
Bridgeport Mill,Which page in the manual covers the spindle brake procedure?,The spindle brake procedure is listed on page 2-13 under Head operational procedures.
Bridgeport Mill,What are the available table lengths listed for the basic machine assembly?,The basic machine assembly lists a 42 in. table and a 48 in. table.
Bridgeport Mill,"What tank capacities are available for the spray mist system, and what power specification is given?","The spray mist system is available with a 1 gal tank or a 5 gal tank. Both are specified for 110-120 V, 50/60 Hz."
Bridgeport Mill,How many flexible coolant nozzles are used in the flood coolant assembly when the machine is equipped with two nozzles?,"The two-nozzle flood coolant assembly uses 2 flexible nozzle coolant hoses, each 21 in. long, and 2 shut-off valves."
Bridgeport Mill,Which components are identified as part of the overload clutch mechanism in the quill feed assembly?,"The overload clutch mechanism includes the locknut, safety clutch spring, overload clutch, overload clutch sleeve, overload clutch worm gear, overload clutch ring, overload clutch trip lever assembly, and overload clutch washer."
Bridgeport Mill,Who is responsible for providing and ensuring use of point-of-operation safeguarding on the Bridgeport mill?,The employer/user is responsible for point-of-operation safeguarding. ANSI B11.8 and OSHA Section 1910.212 assign this responsibility to the employer/user.
Bridgeport Mill,What should be done if unusual noise or vibration is noticed while machining to help prevent cutter breakage?,Reduce the table feed and spindle speed. The manual states to use correct feed and speed for the job and reduce both if unusual noise or vibration occurs.
Bridgeport Mill,What warning is given when replacing lubrication metering units in the lubrication system?,Replace metering units only with the correct numbered meter units. Wrong installation will cause poor lubrication.
Bridgeport Mill,"What are the capacitor values listed for C1, C2, and C4 on the 8F power feed circuit board?",C1 and C3: 10.0 ufd - 35V electrolytic; C2: 0.47 ufd - 50V electrolytic; C4: 0.022 ufd - 250Vac/630Vdc Mylar.
Bridgeport Mill,Do the 6F Power Feed Field Conversion Kits for machines without NFPA include lead screws?,No. The manual notes that field conversion kits do NOT include lead screws.
Bridgeport Mill,"What should you do if the Bridgeport mill shows unusual heat, noise, smoke, or vibration during operation?","Do not operate the equipment. Report any excessive or unusual vibration, sounds, smoke, heat, or damaged parts."
Bridgeport Mill,What personal items or clothing are specifically prohibited while operating the milling machine?,"Do not wear rings, watches, jewelry, loose clothing, neckties, or long hair not contained by a net or shop cap. Do not wear gloves while operating equipment."
Bridgeport Mill,"When cleaning the machine after uncrating, what cleaning agent must not be used?",Do not use gasoline or any other flammable cleaning agent to clean the machine.
Bridgeport Mill,"Before moving the table, saddle, knee, or any movable part during initial cleaning, what must be done?",All ways must be well cleaned and lubricated before any movable part is moved.
Bridgeport Mill,Which chemicals in coolants or cutting oils can harm the polycarbonate chip and coolant shield?,"Mono-ethanolamine, Di-ethanolamine, Tri-ethanolamine, and combinations of these chemicals. Their use can reduce shield impact strength, void the warranty, and could cause injury."
Bridgeport Mill,What information must be provided when ordering replacement parts for the Series I milling machine?,"Provide the complete machine serial number from the serial number tag on the power case door, plus: Manual Number (M-450), page number, item number, part description, part number, quantity required, and how and where to ship."
Bridgeport Mill,"What should be done if the spindle brake is worn out, and can it be adjusted?","When the spindle brake is worn out, it must be replaced. There are no adjustments to be made."
Bridgeport Mill,How is spindle speed changed within the selected range?,"Start the spindle first, then turn handwheel “A” to select the required speed. Do not change speed when the spindle is stationary; change speed only when the spindle is running."
Bridgeport Mill,What are the steps for engaging automatic quill feed?,"1. Ensure quill lock “G” is off.
2. Set micrometer dial “H” to the required depth.
3. Engage auto quill feed “D” when the motor has stopped.
4. Select feed rate “I”.
5. Select feed direction “F”.
6. Engage feed trip lever “E”."
Bridgeport Mill,"What feed rates can be selected with the quill feed selector, and how is the selector shifted?","The quill feed selector provides .0015"", .003"", and .006"" per revolution. It is shifted by pulling the knob out and turning it from one position to another."
Bridgeport Mill,"When doing heavy milling work on the Bridgeport mill, where should the head be positioned for maximum rigidity?",Keep the head as close to the column as possible. The manual states this gives maximum rigidity on heavy milling work.
Bridgeport Mill,"If I am milling with longitudinal table feed only, what parts should be clamped to reduce vibration and allow heavier cuts?",Clamp the knee to the column and the saddle to the knee. This adds rigidity and allows heavier cuts with minimum vibration.
Bridgeport Mill,What is the proper way to set the X-axis power feed quick-release safety handle?,"Grip the handle and turn it either left or right until the spring-loaded plunger engages in position. Do not tamper with the ball crank handle assembly, as it is a safety device."
Bridgeport Mill,What fuse rating is specified for the Power Feed X-Axis control assembly?,"The specified fuse is 10 Amp, code no. 11632606."
Bridgeport Mill,What caution is given before loosening the four locknuts for E-Head swivel adjustment?,Support the unit to prevent free fall before loosening the four locknuts.
